ax,ay,az,label
-0.0041,-0.0847,0.04665,6
4.4284,1.1552,-3.23405,1
-0.08495,-0.00325,-0.0851,4
0.0672,-0.03965,0.17185,4
0.00475,-0.00245,0.04785,6
0.10115,0.0049,-0.09175,5
-0.23395,0.9148,-0.995,2
1.0214,1.39625,-5.25875,3
-0.04535,-0.06385,-0.0675,4
-0.38105,0.6463,4.25215,2
2.91505,-0.9136,0.2326,2
-0.02285,-0.02885,-0.04515,6
0.04655,-0.05865,0.0155,6
-0.271,-0.05235,0.1419,5
0.0359,0.05565,-0.0088,6
-1.6993,-0.7543,1.57635,2
-0.09875,-0.01275,0.0776,6
-0.51125,2.0985,0.55565,2
0.05395,0.0082,0.0254,6
0.96935,-5.81765,6.5436,3
0.0101,-0.00455,-0.1067,4
-1.2262,-0.20835,-1.91425,3
-0.08485,0.00635,-0.12695,4
-0.16215,0.0392,0.03025,6
6.62205,-1.8602,6.33955,2
-2.5737,-4.27535,2.52495,3
-0.11985,-0.0965,0.00445,6
3.56505,-4.11265,-2.93375,1
-2.34835,1.7772,1.5018,2
0.12545,-0.03685,-0.0478,4
-0.2431,0.07715,-0.0493,4
1.5778,0.796,-0.94305,1
-0.04,-0.0143,-0.03435,6
-0.0325,0.0194,-0.01595,6
-0.04685,0.0172,0.10365,6
0.0754,-0.0452,-0.1079,5
-0.91785,5.49725,2.1045,3
0.40015,-0.03415,-0.20045,5
-1.78505,-0.4866,2.46005,2
-0.04475,-0.0332,0.08295,6
-0.33365,-3.6408,3.1794,2
-0.12055,-0.073,-0.02145,6
-0.08885,-0.0269,0.05605,5
-0.1119,-1.77965,1.628,1
-4.4434,0.5758,3.72945,1
0.33775,-0.03145,-0.24405,5
0.03205,-0.0246,0.06725,6
1.8785,-2.34195,-4.86675,1
-0.04045,-0.1714,-0.02515,4
-0.0204,-0.027,-0.03215,4
-0.0714,-0.0743,0.10705,5
0.14475,0.02685,0.1373,4
2.62655,0.29855,-5.66045,2
0.08255,-0.01045,-0.0366,5
-0.9669,-3.02085,1.62755,2
-0.4939,0.2062,0.2828,6
-2.7252,1.76365,-2.17035,3
-4.8849,-5.20865,6.642,2
0.22835,-0.0201,-0.0541,5
3.691,-3.7655,2.5084,3
-0.1035,-0.0506,0.2048,5
-0.01465,-0.07605,-0.05035,5
-0.03875,0.0734,-0.0056,6
4.82335,2.9399,11.2392,3
0.23225,1.14685,-1.8018,2
-0.24625,-0.07765,-0.09565,5
-5.3129,2.88655,-2.1263,3
0.02695,0.0051,-0.0641,4
-0.0277,-0.01485,-0.02925,4
-0.31525,3.74455,0.6186,3
-0.16495,-0.04265,0.08765,5
0.05705,0.08045,0.1188,6
-2.473,-1.39625,-1.4729,3
-0.0228,-0.049,-0.06645,4
0.0271,-0.139,0.1153,6
-0.0509,-0.00505,-0.0561,6
0.14765,0.0173,-0.05305,5
-0.1302,-0.0182,0.1132,5
0.0158,-0.0145,-0.08875,4
-0.4345,3.3757,-1.05725,3
-1.7515,-10.10555,-5.31995,1
-0.0351,-0.00585,-0.0825,4
-6.36425,-0.2453,5.24185,1
0.1109,0.0188,0.0346,5
-0.3757,0.5438,-0.14225,1
0.372,-0.0287,0.01035,5
-0.64165,1.4497,2.3855,1
0.0903,-0.4338,0.35945,1
-3.27755,2.2796,-2.25785,1
0.1664,-0.06645,0.02525,6
0.01835,0.07185,0.058,4
-1.05345,3.0316,0.80315,3
-0.69155,2.9022,-1.54835,2
-4.0555,-1.49945,2.3192,3
-0.0137,-0.0015,0.08905,5
-0.0467,2.86535,0.44795,3
0.14105,-0.03135,0.00615,5
-0.5369,3.9299,-2.4529,2
-9.36875,0.08455,-2.4184,2
-2.39205,-1.82575,0.92095,3
1.0874,3.7464,-4.2076,3
-0.0102,-0.0694,-0.03335,4
-0.0172,-0.03965,-0.1864,5
-3.18455,1.4275,3.2492,1
5.39975,-10.9223,1.716,3
2.93265,0.46165,-1.41375,3
-2.42195,-3.2706,-5.6838,1
0.2066,0.04765,-0.04385,4
0.1528,-0.00535,0.08055,5
0.47125,-4.2258,15.95,2
-0.0661,-0.02295,0.08315,6
0.18265,-0.0186,-0.0786,4
-4.9659,-0.9053,0.94905,1
0.1104,-0.03805,-0.0445,6
-0.70475,1.968,-1.271,3
-0.06885,-0.05955,0.01475,6
